maxtempF,mintempF,avgtempF,totalSnow_cm,humid,wind,precip,sunHour,lat,long,had_wildfire
66.12903226,44.38709677,57.96774194,0,42.25806452,6.806451613,0.064516129,10.59677419,39.3,-120.77,0
73.90322581,52.70967742,65.80645161,0,37.51612903,7.483870968,0.077419355,10.71935484,39.67,-121.6,0
81.90322581,57.48387097,72.96774194,0,31.93548387,5.838709677,0.022580645,10.88064516,37.19,-120.72,0
78.25806452,56.80645161,69.64516129,0,29.25806452,5.806451613,0.009677419,11.15806452,36.23,-118.78,0
80.93548387,54.03225806,71.19354839,0,36.03225806,5.838709677,0.016129032,10.89354839,37.56,-121,0
82.70967742,63.64516129,74.77419355,0,45.25806452,5.290322581,0,11.18709677,33.68,-117.78,0
92,66.5483871,83.32258065,0,19.06451613,6.741935484,0,10.74516129,33.04,-115.36,0
79.38709677,55.74193548,70.64516129,0,36.03225806,5.935483871,0.048387097,10.78387097,39.04,-121.7,0
75.19354839,52.90322581,67.19354839,0,35.80645161,6,0.04516129,10.92258065,38.44,-120.65,0
74.35483871,51.19354839,65.35483871,0,43.93548387,5.548387097,0.077419355,10.45806452,39.09,-122.75,0
60.35483871,39.48387097,51.83870968,0,47.32258065,6.967741935,0.106451613,10.55806452,39.99,-120.82,0
71.83870968,56.06451613,65.29032258,0,57.83870968,6.548387097,0.012903226,10.87419355,37.41,-122.37,0
58.19354839,35.19354839,52.29032258,0,55.80645161,7.129032258,0.080645161,10.39354839,41.59,-122.53,0
73.25806452,54.77419355,66.29032258,0,56.16129032,5.677419355,0.019354839,10.96774194,37.01,-122.01,0
77.90322581,54.09677419,68.5483871,0,38.35483871,6.741935484,0.070967742,10.69677419,39.6,-122.4,0
82.87096774,56.22580645,72.29032258,0,32.09677419,4.483870968,0.003225806,11.02258065,35.39,-120.45,0
53.5,32.4,43.43333333,0.436666667,66.43333333,6.366666667,0.166666667,8.48,39.58,-120.52,0
67.16666667,49.2,59.7,0,64.3,4.2,0.163333333,8.623333333,38.45,-121.34,0
74.16666667,52.6,64.6,0,49.43333333,7.6,0.063333333,8.983333333,34.54,-120.04,1
68.03333333,38.56666667,54.16666667,0,59.23333333,5.433333333,0.153333333,8.486666667,38.18,-120.56,0
67.13333333,49.1,58.93333333,0,49.1,6.966666667,0.073333333,8.493333333,34.36,-119.13,0
76.43333333,51.5,65.86666667,0,47.3,5.633333333,0.04,8.376666667,34.2,-118.26,1
64.16666667,50.7,58.2,0,67.2,6.866666667,0.063333333,8.54,38.53,-122.93,0
70.5,48.86666667,60.9,0,58.96666667,4.266666667,0.106666667,8.573333333,36.07,-119.82,0
74.23333333,50.26666667,63.93333333,0,51.9,5.066666667,0.1,8.486666667,33.02,-116.78,0
59.9,43.56666667,52.13333333,0,60.73333333,6.7,0.273333333,8.203333333,39.06,-120.72,0
61.83333333,53.96666667,58.6,0,71.83333333,7.166666667,0.033333333,8.883333333,37.73,-123.03,0
61.83333333,53.96666667,58.6,0,71.83333333,7.166666667,0.033333333,8.703333333,38.05,-122.75,0
50.86666667,38.63333333,45.4,2.27,59.03333333,6.333333333,0.143333333,8.303333333,37.57,-119.91,0
51.03333333,33.53333333,43.1,0.24,69.4,6.1,0.1,8.32,40.72,-120.63,0
